HISTORIALCREDITO;SALDOCUENTAAHORROS;TIEMPOEMPLEO;ESTADOCIVILYSEXO;ACTIVOS;VIVIENDA;EMPLEO;PROPOSITOCREDITO_A40;PROPOSITOCREDITO_A41;PROPOSITOCREDITO_A410;PROPOSITOCREDITO_A42;PROPOSITOCREDITO_A43;PROPOSITOCREDITO_A44;PROPOSITOCREDITO_A45;PROPOSITOCREDITO_A46;PROPOSITOCREDITO_A48;PROPOSITOCREDITO_A49;GARANTE_A101;GARANTE_A102;GARANTE_A103;TRABAJADOREXTRANJERO_A201;TRABAJADOREXTRANJERO_A202;PLAZOMESESCREDITO;MONTOCREDITO;TASAPAGO;AVALUOVIVIENDA;EDAD;CANTIDADCREDITOSEXISTENTES;TIPOCLIENTE
0.003415957349456289;0.003415957349456289;0.003415957349456289;0.0017079786747281444;0.0;0.0008539893373640722;0.0017079786747281444;0.0;0.0;0.0;0.0;0.0008539893373640722;0.0;0.0;0.0;0.0;0.0;0.0008539893373640722;0.0;0.0;0.0008539893373640722;0.0;0.005123936024184433;0.9983135353786005;0.003415957349456289;0.003415957349456289;0.057217285603392835;0.0017079786747281444;1
0.00033606461864127337;0.0;0.00033606461864127337;0.00016803230932063668;0.0;0.00016803230932063668;0.00033606461864127337;0.0;0.0;0.0;0.0;0.00016803230932063668;0.0;0.0;0.0;0.0;0.0;0.00016803230932063668;0.0;0.0;0.00016803230932063668;0.0;0.00806555084739056;0.9999602727671089;0.00033606461864127337;0.00033606461864127337;0.0036967108050540067;0.00016803230932063668;2
0.0019078340008990067;0.0;0.001430875500674255;0.0009539170004495034;0.0;0.0004769585002247517;0.0004769585002247517;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0004769585002247517;0.0;0.0;0.0004769585002247517;0.0;0.0;0.0004769585002247517;0.0;0.00572350200269702;0.9997050164710795;0.0009539170004495034;0.001430875500674255;0.023370966511012833;0.0004769585002247517;1
0.00025373486539129354;0.0;0.0003806022980869403;0.00025373486539129354;0.00012686743269564677;0.00025373486539129354;0.00025373486539129354;0.0;0.0;0.0;0.00012686743269564677;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.00012686743269564677;0.00012686743269564677;0.0;0.005328432173217164;0.9999691045070878;0.00025373486539129354;0.0005074697307825871;0.005709034471304104;0.00012686743269564677;1
0.0006159716143189168;0.0;0.0004106477428792779;0.0004106477428792779;0.0006159716143189168;0.0004106477428792779;0.0004106477428792779;0.00020532387143963894;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.00020532387143963894;0.0;0.0;0.00020532387143963894;0.0;0.004927772914551334;0.9999272539110416;0.0006159716143189168;0.0008212954857585558;0.010882165186300863;0.0004106477428792779;2
0.00022086896182024464;0.0004417379236404893;0.00022086896182024464;0.00022086896182024464;0.000331303442730367;0.00022086896182024464;0.00011043448091012232;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.00011043448091012232;0.0;0.0;0.00011043448091012232;0.0;0.0;0.00011043448091012232;0.0;0.003975641312764404;0.9999842246411577;0.00022086896182024464;0.0004417379236404893;0.003865206831854281;0.00011043448091012232;1
0.0007053160967168006;0.0007053160967168006;0.0014106321934336012;0.0007053160967168006;0.0003526580483584003;0.0003526580483584003;0.0007053160967168006;0.0;0.0;0.0;0.0003526580483584003;0.0;0.0;0.0;0.0;0.0;0.0;0.0003526580483584003;0.0;0.0;0.0003526580483584003;0.0;0.008463793160601606;0.9997855670960648;0.0010579741450752007;0.0014106321934336012;0.018690876562995215;0.0003526580483584003;1
0.00028784499333502626;0.0;0.00028784499333502626;0.00028784499333502626;0.00028784499333502626;0.0;0.00043176749000253936;0.0;0.00014392249666751313;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.00014392249666751313;0.0;0.0;0.00014392249666751313;0.0;0.005181209880030473;0.9999735068458812;0.00028784499333502626;0.00028784499333502626;0.005037287383362959;0.00014392249666751313;1
0.0006536717760732704;0.0009805076641099056;0.0009805076641099056;0.0;0.0;0.0003268358880366352;0.0003268358880366352;0.0;0.0;0.0;0.0;0.0003268358880366352;0.0;0.0;0.0;0.0;0.0;0.0003268358880366352;0.0;0.0;0.0003268358880366352;0.0;0.003922030656439622;0.9997909815040671;0.0006536717760732704;0.0013073435521465408;0.01993698917023475;0.0003268358880366352;1
0.0007642094467792572;0.0;0.0;0.0005731570850844429;0.0003821047233896286;0.0001910523616948143;0.0005731570850844429;0.0001910523616948143;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0001910523616948143;0.0;0.0;0.0001910523616948143;0.0;0.005731570850844429;0.9999680611106581;0.0007642094467792572;0.0003821047233896286;0.005349466127454801;0.0003821047233896286;2
